suburb,subculture_id,subculture_name,longitude,latitude,median_age,weekly_income,pct_born_overseas,pct_renting,pct_english_only,pct_university
Surry Hills,0,Inner-City Creative,151.22613,-33.84578,25,982,45.6,57.9,43.2,43.7
Surry Hills,0,Inner-City Creative,151.20326,-33.86206,38,909,51.3,61.0,38.0,59.6
Surry Hills,0,Inner-City Creative,151.2196,-33.88082,20,889,22.0,77.4,58.7,52.5
Surry Hills,0,Inner-City Creative,151.19715,-33.90648,30,1015,25.1,76.0,49.7,53.7
Surry Hills,0,Inner-City Creative,151.20732,-33.90588,27,756,54.6,72.3,48.0,61.7
Surry Hills,0,Inner-City Creative,151.20719,-33.88552,33,991,29.7,67.4,52.2,41.6
Surry Hills,0,Inner-City Creative,151.17212,-33.84583,38,870,40.8,74.5,85.8,69.0
Marrickville,0,Inner-City Creative,151.1468,-33.93389,22,924,27.4,60.6,48.5,51.3
Marrickville,0,Inner-City Creative,151.19218,-33.88796,30,1078,35.8,65.1,70.2,64.3
Marrickville,0,Inner-City Creative,151.12407,-33.91476,26,734,44.3,87.3,41.0,64.5
Marrickville,0,Inner-City Creative,151.13373,-33.92218,27,796,35.5,65.4,57.7,59.6
Marrickville,0,Inner-City Creative,151.14403,-33.93269,27,991,40.0,64.2,56.0,66.0
Marrickville,0,Inner-City Creative,151.10826,-33.89642,27,968,27.4,57.6,38.7,60.4
Marrickville,0,Inner-City Creative,151.15649,-33.93261,33,701,34.3,62.3,48.5,60.4
Marrickville,0,Inner-City Creative,151.12849,-33.91961,35,831,43.4,63.0,60.3,71.5
Marrickville,0,Inner-City Creative,151.08821,-33.92992,33,876,38.7,67.2,55.9,58.8
Marrickville,0,Inner-City Creative,151.17919,-33.90364,32,851,30.1,68.5,58.9,56.6
Marrickville,0,Inner-City Creative,151.15724,-33.85811,34,861,47.0,68.7,34.6,51.9
Marrickville,0,Inner-City Creative,151.10323,-33.91879,30,1101,38.3,70.2,63.3,42.3
Marrickville,0,Inner-City Creative,151.15589,-33.89073,23,1037,38.4,68.7,61.3,78.2
Marrickville,0,Inner-City Creative,151.15455,-33.90379,28,798,43.3,65.2,55.7,56.2
Marrickville,0,Inner-City Creative,151.16197,-33.90166,35,839,32.3,64.2,50.6,63.0
Marrickville,0,Inner-City Creative,151.16892,-33.93305,34,1063,39.1,87.0,47.3,50.0
Marrickville,0,Inner-City Creative,151.10553,-33.8726,33,893,37.8,63.0,79.5,61.0
Marrickville,0,Inner-City Creative,151.15273,-33.89186,32,927,27.1,75.8,73.8,70.8
Marrickville,0,Inner-City Creative,151.18983,-33.92278,25,885,35.6,80.8,38.1,72.2
Marrickville,0,Inner-City Creative,151.14605,-33.92067,25,701,43.2,72.6,42.1,49.6
Marrickville,0,Inner-City Creative,151.14161,-33.86827,29,720,32.5,69.8,28.0,59.6
Marrickville,0,Inner-City Creative,151.14423,-33.89259,39,1035,32.3,63.1,80.7,60.5
Marrickville,0,Inner-City Creative,151.15035,-33.9106,31,883,29.3,67.6,54.7,55.7
Marrickville,0,Inner-City Creative,151.13218,-33.90734,29,1080,8.5,80.7,67.5,43.4
Marrickville,0,Inner-City Creative,151.14143,-33.91929,23,807,23.9,86.0,64.4,70.2
Marrickville,0,Inner-City Creative,151.16804,-33.93823,27,959,22.8,77.7,52.6,57.0
Marrickville,0,Inner-City Creative,151.16777,-33.89889,28,1039,24.2,76.9,60.9,57.5
Marrickville,0,Inner-City Creative,151.15815,-33.94128,35,878,29.8,80.4,48.0,48.7
Marrickville,0,Inner-City Creative,151.11108,-33.89485,24,1111,14.2,85.6,57.1,59.2
Marrickville,0,Inner-City Creative,151.13638,-33.90002,30,1032,36.1,73.2,51.4,59.5
Blacktown,1,Aspirational Westie,150.9177,-33.81275,29,754,47.1,36.2,52.2,30.8
Blacktown,1,Aspirational Westie,150.89651,-33.78946,38,582,49.9,21.0,64.3,31.8
Blacktown,1,Aspirational Westie,150.9164,-33.74543,47,781,22.9,25.2,44.5,28.2
Blacktown,1,Aspirational Westie,150.92294,-33.78814,38,604,37.7,23.9,40.9,17.2
Blacktown,1,Aspirational Westie,150.8856,-33.74366,31,943,50.9,39.8,41.7,33.6
Blacktown,1,Aspirational Westie,150.89561,-33.76695,52,670,58.8,31.0,51.6,42.2
Blacktown,1,Aspirational Westie,150.89433,-33.72469,41,624,52.6,47.7,59.5,15.4
Blacktown,1,Aspirational Westie,150.89182,-33.77619,37,742,47.1,24.6,56.6,32.9
Blacktown,1,Aspirational Westie,150.92399,-33.74298,42,726,44.2,21.4,57.2,29.7
Blacktown,1,Aspirational Westie,150.91679,-33.80192,31,785,44.5,44.8,52.3,28.2
Blacktown,1,Aspirational Westie,150.93346,-33.7829,38,634,39.8,34.9,54.7,24.2
Blacktown,1,Aspirational Westie,150.94139,-33.79237,36,636,62.4,40.0,64.4,16.1
Blacktown,1,Aspirational Westie,150.91668,-33.74776,37,787,38.8,52.1,79.6,25.1
Blacktown,1,Aspirational Westie,150.89886,-33.73367,46,628,40.0,35.2,35.9,20.7
Blacktown,1,Aspirational Westie,150.8849,-33.78919,37,703,63.6,28.0,63.8,26.3
Blacktown,1,Aspirational Westie,150.90876,-33.75313,30,718,47.0,42.9,55.5,47.6
Blacktown,1,Aspirational Westie,150.89406,-33.78327,33,624,37.4,49.9,69.0,23.4
Blacktown,1,Aspirational Westie,150.88919,-33.75821,34,743,47.4,22.8,70.6,42.4
Blacktown,1,Aspirational Westie,150.89468,-33.77969,39,713,52.9,58.1,49.9,21.6
Blacktown,1,Aspirational Westie,150.87552,-33.78827,37,859,38.8,40.2,51.8,37.5
Blacktown,1,Aspirational Westie,150.97317,-33.78327,34,784,53.2,56.5,59.0,25.1
Blacktown,1,Aspirational Westie,150.92477,-33.74228,42,731,57.8,49.7,68.6,33.2
Blacktown,1,Aspirational Westie,150.90582,-33.76633,44,598,49.4,34.1,52.3,38.2
Blacktown,1,Aspirational Westie,150.91478,-33.76884,29,755,52.7,59.6,48.3,29.8
Blacktown,1,Aspirational Westie,150.91623,-33.73056,36,708,52.3,39.9,46.6,29.6
Blacktown,1,Aspirational Westie,150.93684,-33.79566,38,610,59.3,22.8,45.3,31.0
Blacktown,1,Aspirational Westie,150.94914,-33.77164,34,868,27.6,16.0,57.3,24.0
Blacktown,1,Aspirational Westie,150.88447,-33.75229,38,624,29.6,46.7,59.8,27.2
Blacktown,1,Aspirational Westie,150.95617,-33.79675,28,611,44.5,40.4,49.1,30.8
Blacktown,1,Aspirational Westie,150.87871,-33.73391,37,792,49.1,42.6,58.8,31.6
Rooty Hill,1,Aspirational Westie,150.85607,-33.73677,38,751,43.9,52.4,43.9,42.4
Rooty Hill,1,Aspirational Westie,150.839,-33.80577,38,612,55.1,31.5,46.6,12.9
Rooty Hill,1,Aspirational Westie,150.82869,-33.8306,27,756,54.4,42.3,40.4,27.6
Rooty Hill,1,Aspirational Westie,150.83991,-33.79896,46,768,42.3,38.3,54.5,11.7
Rooty Hill,1,Aspirational Westie,150.83382,-33.78705,31,652,66.6,44.4,45.1,32.6
Rooty Hill,1,Aspirational Westie,150.87498,-33.74688,37,615,53.4,41.9,62.7,33.1
Rooty Hill,1,Aspirational Westie,150.86624,-33.78338,45,700,69.9,31.1,72.8,29.6
Rooty Hill,1,Aspirational Westie,150.82371,-33.7821,35,722,51.3,32.3,51.7,45.1
Rooty Hill,1,Aspirational Westie,150.88319,-33.75909,37,692,52.4,27.8,48.9,14.7
Rooty Hill,1,Aspirational Westie,150.84998,-33.75382,34,837,30.3,23.4,54.7,36.4
Rooty Hill,1,Aspirational Westie,150.8821,-33.78147,43,676,42.9,46.8,59.8,15.4
Rooty Hill,1,Aspirational Westie,150.87691,-33.7355,33,720,50.9,40.6,45.4,22.6
Rooty Hill,1,Aspirational Westie,150.83936,-33.74068,40,643,54.3,9.5,65.8,14.1
Rooty Hill,1,Aspirational Westie,150.83094,-33.79799,29,796,39.4,41.5,51.4,31.8
Rooty Hill,1,Aspirational Westie,150.84192,-33.80207,43,631,26.3,33.7,70.0,34.8
Rooty Hill,1,Aspirational Westie,150.83128,-33.77873,35,888,49.6,42.3,64.4,29.9
Rooty Hill,1,Aspirational Westie,150.83352,-33.77491,37,676,53.7,38.5,60.8,27.4
Rooty Hill,1,Aspirational Westie,150.84197,-33.81996,42,715,57.0,9.0,77.1,26.9
Rooty Hill,1,Aspirational Westie,150.8677,-33.796,41,575,37.5,57.1,49.7,29.7
Rooty Hill,1,Aspirational Westie,150.86175,-33.75761,38,716,73.8,37.4,54.4,36.4
Rooty Hill,1,Aspirational Westie,150.86764,-33.74032,41,566,64.6,26.5,55.6,22.0
Rooty Hill,1,Aspirational Westie,150.8384,-33.76178,39,722,64.4,42.5,49.1,35.7
Rooty Hill,1,Aspirational Westie,150.86974,-33.80069,41,750,41.4,51.8,50.2,29.0
Rooty Hill,1,Aspirational Westie,150.83567,-33.76961,30,536,64.1,29.5,40.1,10.8
Rooty Hill,1,Aspirational Westie,150.82403,-33.80308,47,781,36.7,60.5,63.8,25.4
Rooty Hill,1,Aspirational Westie,150.77751,-33.71273,29,515,57.3,62.4,68.6,32.5
Rooty Hill,1,Aspirational Westie,150.85487,-33.74866,42,708,46.3,37.4,43.0,25.8
Rooty Hill,1,Aspirational Westie,150.79768,-33.77246,31,570,47.2,51.9,63.0,15.4
Rooty Hill,1,Aspirational Westie,150.81526,-33.74648,31,658,51.6,28.3,53.3,17.3
Rooty Hill,1,Aspirational Westie,150.82497,-33.76201,27,724,44.8,43.5,54.7,38.9
Liverpool,1,Aspirational Westie,150.92313,-33.94074,38,734,45.6,38.4,43.6,22.7
Liverpool,1,Aspirational Westie,150.88493,-33.88626,30,611,36.4,46.9,48.5,38.0
Liverpool,1,Aspirational Westie,150.90316,-33.92303,32,895,30.7,41.1,59.6,31.3
Liverpool,1,Aspirational Westie,150.91537,-33.93325,37,665,56.6,60.1,45.3,17.0
Liverpool,1,Aspirational Westie,150.91779,-33.86551,32,844,65.1,32.5,58.8,41.0
Liverpool,1,Aspirational Westie,150.91052,-33.93509,34,579,37.2,25.8,52.4,21.8
Liverpool,1,Aspirational Westie,150.92584,-33.9689,39,763,21.1,41.7,66.7,18.3
Liverpool,1,Aspirational Westie,150.96181,-33.91952,33,674,51.7,38.8,58.5,20.6
Liverpool,1,Aspirational Westie,150.92423,-33.96534,36,590,36.2,50.4,65.1,32.9
Liverpool,1,Aspirational Westie,150.89269,-33.93791,44,694,72.8,41.9,54.3,25.5
Liverpool,1,Aspirational Westie,150.92334,-33.93381,41,776,35.6,24.7,30.0,32.1
Liverpool,1,Aspirational Westie,150.89242,-33.98382,39,929,44.9,46.4,53.0,27.2
Liverpool,1,Aspirational Westie,150.94298,-33.93726,39,712,37.0,47.9,49.9,22.0
Liverpool,1,Aspirational Westie,150.93341,-33.95246,37,679,58.0,42.7,51.7,34.5
Liverpool,1,Aspirational Westie,150.95476,-33.91605,37,549,32.2,34.9,44.7,26.5
Liverpool,1,Aspirational Westie,150.92142,-33.91676,37,729,45.8,18.2,40.7,26.8
Liverpool,1,Aspirational Westie,150.88976,-33.915,46,802,42.4,52.9,53.8,25.3
Liverpool,1,Aspirational Westie,150.90466,-33.93756,35,697,46.9,38.0,57.2,37.5
Liverpool,1,Aspirational Westie,150.94374,-33.96712,22,773,28.6,35.8,38.0,13.6
Liverpool,1,Aspirational Westie,150.93354,-33.91102,34,421,38.4,41.9,34.3,29.5
Liverpool,1,Aspirational Westie,150.91962,-33.91552,38,583,59.4,36.4,51.7,20.5
Liverpool,1,Aspirational Westie,150.90892,-33.95212,36,851,28.5,21.9,69.7,26.3
Liverpool,1,Aspirational Westie,150.90327,-33.904,33,863,53.1,33.1,77.9,23.2
Liverpool,1,Aspirational Westie,150.93855,-33.92252,45,836,45.4,30.5,57.5,22.6
Liverpool,1,Aspirational Westie,150.97033,-33.92659,35,698,28.8,28.3,66.4,22.7
Liverpool,1,Aspirational Westie,150.89383,-33.91658,44,752,57.0,30.4,34.9,40.0
Liverpool,1,Aspirational Westie,150.91193,-33.93627,45,736,50.5,59.7,44.3,35.4
Liverpool,1,Aspirational Westie,150.92143,-33.92329,46,731,51.5,48.7,47.6,21.3
Liverpool,1,Aspirational Westie,150.89388,-33.97916,49,570,42.3,35.2,55.7,34.5
Liverpool,1,Aspirational Westie,150.94151,-33.94458,36,708,42.0,54.1,57.9,33.9
Parramatta,1,Aspirational Westie,151.01657,-33.78066,38,550,49.8,31.5,45.7,32.7
Parramatta,1,Aspirational Westie,151.03096,-33.80947,39,850,47.9,64.0,58.8,13.9
Parramatta,1,Aspirational Westie,151.01883,-33.80047,45,747,43.3,25.8,49.5,21.2
Parramatta,1,Aspirational Westie,150.98549,-33.79529,47,719,30.6,42.4,66.4,23.1
Parramatta,1,Aspirational Westie,150.99665,-33.80963,32,745,43.5,42.2,41.4,24.5
Parramatta,1,Aspirational Westie,151.01806,-33.81932,47,640,47.7,47.3,35.0,13.9
Parramatta,1,Aspirational Westie,150.96186,-33.77844,34,936,38.2,39.8,70.5,44.0
Parramatta,1,Aspirational Westie,151.05154,-33.77979,43,739,54.3,32.5,42.2,28.0
Parramatta,1,Aspirational Westie,150.99575,-33.82133,41,776,46.1,52.8,38.3,26.5
Parramatta,1,Aspirational Westie,150.98208,-33.85666,37,668,63.2,44.3,39.7,42.8
Parramatta,1,Aspirational Westie,151.03053,-33.79545,36,584,40.5,48.9,74.6,40.3
Parramatta,1,Aspirational Westie,150.98778,-33.83799,38,503,48.9,36.5,46.4,15.2
Parramatta,1,Aspirational Westie,151.01284,-33.82332,30,393,44.7,55.7,71.9,24.3
Parramatta,1,Aspirational Westie,150.98494,-33.79828,31,710,54.2,50.3,50.8,26.4
Parramatta,1,Aspirational Westie,150.97805,-33.83067,36,717,56.0,30.0,69.9,25.8
Parramatta,1,Aspirational Westie,150.99947,-33.82868,22,768,53.8,35.2,52.8,32.1
Parramatta,1,Aspirational Westie,150.96094,-33.82323,42,555,48.5,24.4,57.6,27.7
Parramatta,1,Aspirational Westie,150.95962,-33.78088,33,599,47.4,49.5,39.8,28.5
Parramatta,1,Aspirational Westie,151.01072,-33.79267,38,643,35.1,38.9,39.1,4.6
Parramatta,1,Aspirational Westie,151.01091,-33.7874,23,579,52.4,58.6,52.2,22.2
Parramatta,1,Aspirational Westie,150.99543,-33.77563,33,600,39.2,28.5,53.5,41.0
Parramatta,1,Aspirational Westie,151.00808,-33.81631,35,524,55.6,37.2,49.8,53.5
Parramatta,1,Aspirational Westie,151.00747,-33.82879,34,795,46.4,23.6,63.0,22.7
Parramatta,1,Aspirational Westie,151.04683,-33.783,34,808,45.8,46.5,57.8,21.2
Parramatta,1,Aspirational Westie,150.98391,-33.78425,35,640,33.5,42.2,76.8,19.5
Parramatta,1,Aspirational Westie,151.00061,-33.77469,37,725,32.3,42.3,49.8,35.9
Parramatta,1,Aspirational Westie,151.02968,-33.74526,40,713,47.3,34.5,56.1,25.6
Parramatta,1,Aspirational Westie,151.00421,-33.77706,31,794,60.8,36.8,26.5,23.1
Parramatta,1,Aspirational Westie,151.03242,-33.81057,31,630,55.1,43.5,49.1,25.1
Parramatta,1,Aspirational Westie,150.99021,-33.83306,47,648,59.6,53.2,64.0,24.5
Penrith,1,Aspirational Westie,150.70009,-33.7506,32,712,30.9,49.9,46.4,29.6
Penrith,1,Aspirational Westie,150.69708,-33.75647,41,633,55.5,24.5,53.5,43.5
Penrith,1,Aspirational Westie,150.66499,-33.76694,40,698,49.2,42.9,59.6,36.9
Penrith,1,Aspirational Westie,150.70025,-33.75603,41,870,43.4,28.3,65.3,27.0
Penrith,1,Aspirational Westie,150.63568,-33.72881,34,671,49.0,39.9,60.5,24.5
Penrith,1,Aspirational Westie,150.70283,-33.75649,41,742,33.8,48.9,45.6,34.5
Penrith,1,Aspirational Westie,150.69918,-33.70405,36,645,44.8,35.0,61.6,15.1
Penrith,1,Aspirational Westie,150.66366,-33.7767,43,851,43.7,36.3,52.8,37.3
Penrith,1,Aspirational Westie,150.66682,-33.74404,43,730,47.3,48.0,19.6,33.4
Penrith,1,Aspirational Westie,150.67365,-33.79577,40,817,43.4,47.5,71.3,38.5
Penrith,1,Aspirational Westie,150.731,-33.73145,37,520,42.0,29.6,78.1,26.6
Penrith,1,Aspirational Westie,150.69308,-33.73621,37,850,37.5,39.9,43.1,17.4
Penrith,1,Aspirational Westie,150.67471,-33.75093,34,611,28.1,37.2,33.9,34.1
Penrith,1,Aspirational Westie,150.69206,-33.78644,35,605,48.8,51.4,29.5,28.9
Penrith,1,Aspirational Westie,150.686,-33.73322,38,605,41.2,30.0,64.9,28.2
Penrith,1,Aspirational Westie,150.73753,-33.75152,33,529,23.4,22.2,55.2,32.1
Penrith,1,Aspirational Westie,150.65047,-33.72762,34,695,64.3,47.0,48.8,20.9
Penrith,1,Aspirational Westie,150.6362,-33.76798,36,581,43.4,38.8,49.3,22.8
Penrith,1,Aspirational Westie,150.69422,-33.73895,30,821,43.8,38.2,60.5,29.9
Penrith,1,Aspirational Westie,150.71383,-33.74282,33,716,31.3,39.1,51.6,26.3
Penrith,1,Aspirational Westie,150.68679,-33.79705,34,689,46.9,27.7,67.2,21.1
Penrith,1,Aspirational Westie,150.71424,-33.73932,33,858,30.7,47.2,64.0,22.6
Penrith,1,Aspirational Westie,150.72481,-33.75625,39,706,43.4,46.1,61.5,14.0
Penrith,1,Aspirational Westie,150.72261,-33.79156,43,793,31.9,33.9,38.7,26.3
Penrith,1,Aspirational Westie,150.6823,-33.73051,45,820,38.3,35.9,31.8,21.6
Penrith,1,Aspirational Westie,150.71412,-33.70961,30,621,44.7,40.8,42.3,31.4
Penrith,1,Aspirational Westie,150.67815,-33.75036,40,681,39.8,36.9,50.9,25.0
Penrith,1,Aspirational Westie,150.68353,-33.71003,40,650,53.4,34.7,66.1,31.0
Penrith,1,Aspirational Westie,150.68732,-33.73881,28,567,30.7,39.4,72.8,45.9
Penrith,1,Aspirational Westie,150.70595,-33.73748,26,626,35.5,31.8,50.0,24.2
Springwood,1,Aspirational Westie,150.50052,-33.6813,31,704,69.9,28.8,21.6,25.7
Springwood,1,Aspirational Westie,150.57752,-33.65104,30,730,39.4,36.9,83.7,16.0
Springwood,1,Aspirational Westie,150.55634,-33.68831,44,690,48.7,34.1,55.2,25.3
Springwood,1,Aspirational Westie,150.56554,-33.70924,39,677,58.5,37.5,30.7,38.1
Springwood,1,Aspirational Westie,150.52736,-33.71634,33,817,19.4,69.4,64.7,29.8
Springwood,1,Aspirational Westie,150.54863,-33.69286,40,745,51.7,38.9,49.6,26.8
Springwood,1,Aspirational Westie,150.54513,-33.67166,41,386,52.9,39.9,51.8,24.9
Springwood,1,Aspirational Westie,150.5781,-33.67631,32,721,33.3,24.2,44.5,34.9
Springwood,1,Aspirational Westie,150.57383,-33.68717,41,732,37.3,42.3,61.6,34.0
Springwood,1,Aspirational Westie,150.57972,-33.68229,39,787,44.7,29.2,50.0,22.0
Springwood,1,Aspirational Westie,150.53312,-33.70361,32,649,22.3,40.1,52.0,21.5
Springwood,1,Aspirational Westie,150.56648,-33.67656,27,604,35.8,28.6,62.0,26.4
Springwood,1,Aspirational Westie,150.54339,-33.7501,41,556,45.7,40.8,68.3,17.5
Springwood,1,Aspirational Westie,150.47451,-33.6954,48,804,47.5,33.1,61.7,20.2
Springwood,1,Aspirational Westie,150.56191,-33.68736,43,956,49.7,32.9,51.7,13.8
Springwood,1,Aspirational Westie,150.53263,-33.71023,34,695,35.1,49.2,52.0,27.9
Springwood,1,Aspirational Westie,150.5418,-33.69612,42,593,37.1,35.0,35.8,21.4
Springwood,1,Aspirational Westie,150.53809,-33.67814,39,699,55.2,36.6,56.7,27.2
Springwood,1,Aspirational Westie,150.55663,-33.71457,22,667,62.1,47.3,63.6,37.9
Springwood,1,Aspirational Westie,150.55222,-33.69507,33,648,52.4,50.0,50.3,24.4
Springwood,1,Aspirational Westie,150.55001,-33.68497,28,450,38.4,25.8,45.9,26.8
Springwood,1,Aspirational Westie,150.53867,-33.66369,39,710,52.5,26.6,64.5,27.4
Springwood,1,Aspirational Westie,150.56676,-33.7268,28,762,49.5,29.0,41.6,37.0
Springwood,1,Aspirational Westie,150.52026,-33.65893,32,744,41.1,44.0,45.5,26.7
Springwood,1,Aspirational Westie,150.55102,-33.72505,41,629,42.3,28.1,21.3,26.5
Springwood,1,Aspirational Westie,150.61032,-33.68038,37,654,45.3,43.5,37.8,36.9
Springwood,1,Aspirational Westie,150.56788,-33.68205,40,682,53.1,43.9,47.8,23.4
Springwood,1,Aspirational Westie,150.55255,-33.66127,30,533,47.0,38.5,54.1,30.0
Springwood,1,Aspirational Westie,150.54442,-33.66275,27,597,43.8,21.6,49.9,41.3
Springwood,1,Aspirational Westie,150.55052,-33.69423,29,618,40.5,34.8,67.4,32.5
Campbelltown,1,Aspirational Westie,150.78221,-34.06384,40,794,64.0,27.8,42.3,17.9
Campbelltown,1,Aspirational Westie,150.80415,-34.05834,43,672,41.2,39.5,42.0,44.7
Campbelltown,1,Aspirational Westie,150.76981,-34.06538,49,681,42.7,34.4,49.8,39.0
Campbelltown,1,Aspirational Westie,150.7547,-34.03166,28,653,39.8,43.9,32.8,31.7
Campbelltown,1,Aspirational Westie,150.86061,-34.10408,38,614,50.1,38.2,44.3,31.9
Campbelltown,1,Aspirational Westie,150.85511,-34.07477,41,551,33.5,42.7,69.8,30.8
Campbelltown,1,Aspirational Westie,150.80217,-34.07002,29,740,55.6,33.5,46.4,30.1
Campbelltown,1,Aspirational Westie,150.79908,-34.07165,50,655,40.7,31.5,60.9,26.6
Campbelltown,1,Aspirational Westie,150.79377,-34.03697,46,620,22.6,48.1,43.8,34.3
Campbelltown,1,Aspirational Westie,150.76075,-34.04769,30,753,45.2,28.5,47.1,33.5
Campbelltown,1,Aspirational Westie,150.81265,-34.05539,49,524,64.4,39.0,41.2,17.4
Campbelltown,1,Aspirational Westie,150.80527,-34.04696,36,831,27.6,37.9,37.0,30.9
Campbelltown,1,Aspirational Westie,150.83217,-34.08052,21,700,50.2,42.0,66.8,19.4
Campbelltown,1,Aspirational Westie,150.82701,-34.04019,26,712,38.9,37.2,56.2,24.1
Campbelltown,1,Aspirational Westie,150.79311,-34.06915,30,571,53.2,26.5,60.0,31.7
Campbelltown,1,Aspirational Westie,150.76685,-34.08694,44,582,39.4,42.6,61.4,26.0
Campbelltown,1,Aspirational Westie,150.79506,-34.03444,47,778,46.0,29.9,42.0,32.2
Campbelltown,1,Aspirational Westie,150.82046,-34.03496,41,530,57.6,28.0,47.4,30.0
